Target ID,Algorithm,Dataset size,Metric,Value,trial,Approach
333,SVR,431,MAE,0.09961270543766088,8,Unbalanced
333,SVR,431,MSE,0.012475754671825661,8,Unbalanced
333,SVR,431,R2,0.9931208233328557,8,Unbalanced
333,SVR,431,RMSE,0.11169491784242316,8,Unbalanced
333,SVR,431,r,0.9974005591304957,8,Unbalanced
333,RFR,431,MAE,0.25514319934968527,8,Unbalanced
333,RFR,431,MSE,0.1143870925399006,8,Unbalanced
333,RFR,431,R2,0.93692653961848,8,Unbalanced
333,RFR,431,RMSE,0.3382116091146201,8,Unbalanced
333,RFR,431,r,0.9785225670874685,8,Unbalanced
333,MR,431,MAE,1.1451961875901246,8,Unbalanced
333,MR,431,MSE,1.8223412118484645,8,Unbalanced
333,MR,431,R2,-0.004845596429870591,8,Unbalanced
333,MR,431,RMSE,1.3499411882924621,8,Unbalanced
333,1-NN,431,MAE,0.0017925186682497048,9,Unbalanced
333,1-NN,431,MSE,0.0006728116500316019,9,Unbalanced
333,1-NN,431,R2,0.9996298543124092,9,Unbalanced
333,1-NN,431,RMSE,0.025938613109254743,9,Unbalanced
333,1-NN,431,r,0.9998150048101804,9,Unbalanced
333,kNN,431,MAE,0.43875171736488866,9,Unbalanced
333,kNN,431,MSE,0.3600239281998827,9,Unbalanced
333,kNN,431,R2,0.8019337143665285,9,Unbalanced
333,kNN,431,RMSE,0.600019939835238,9,Unbalanced
333,kNN,431,r,0.8976800678061928,9,Unbalanced
333,SVR,431,MAE,0.10000039113391673,9,Unbalanced
333,SVR,431,MSE,0.014279501323490006,9,Unbalanced
333,SVR,431,R2,0.9921441671891551,9,Unbalanced
333,SVR,431,RMSE,0.11949686742124249,9,Unbalanced
333,SVR,431,r,0.9967946282512306,9,Unbalanced
333,RFR,431,MAE,0.24235297527335767,9,Unbalanced
333,RFR,431,MSE,0.09739926522404639,9,Unbalanced
333,RFR,431,R2,0.9464160318931755,9,Unbalanced
333,RFR,431,RMSE,0.3120885534973149,9,Unbalanced
333,RFR,431,r,0.9823784218583793,9,Unbalanced
333,MR,431,MAE,1.1538689909265663,9,Unbalanced
333,MR,431,MSE,1.8191865679290005,9,Unbalanced
333,MR,431,R2,-0.0008210514939808178,9,Unbalanced
333,MR,431,RMSE,1.34877224464659,9,Unbalanced
268,1-NN,344,MAE,0.007468800807940863,0,Unbalanced
268,1-NN,344,MSE,0.011086095084475146,0,Unbalanced
268,1-NN,344,R2,0.9914850517374582,0,Unbalanced
268,1-NN,344,RMSE,0.10529052704054219,0,Unbalanced
268,1-NN,344,r,0.9957762977246123,0,Unbalanced
268,kNN,344,MAE,0.42902078869869076,0,Unbalanced
268,kNN,344,MSE,0.3417648854428588,0,Unbalanced
268,kNN,344,R2,0.7374990656922318,0,Unbalanced
268,kNN,344,RMSE,0.584606607423196,0,Unbalanced
268,kNN,344,r,0.8601445875647686,0,Unbalanced
268,SVR,344,MAE,0.10962891607087842,0,Unbalanced
268,SVR,344,MSE,0.026356007292571912,0,Unbalanced
268,SVR,344,R2,0.9797566197300887,0,Unbalanced
268,SVR,344,RMSE,0.16234533344870714,0,Unbalanced
268,SVR,344,r,0.9904684404931262,0,Unbalanced
268,RFR,344,MAE,0.23757229582724296,0,Unbalanced
268,RFR,344,MSE,0.09756540825749516,0,Unbalanced
268,RFR,344,R2,0.9250624861868867,0,Unbalanced
268,RFR,344,RMSE,0.31235461939515985,0,Unbalanced
268,RFR,344,r,0.9781721563560517,0,Unbalanced
268,MR,344,MAE,0.9177877045644001,0,Unbalanced
268,MR,344,MSE,1.3039755726657016,0,Unbalanced
268,MR,344,R2,-0.001550541670506389,0,Unbalanced
268,MR,344,RMSE,1.1419174981870195,0,Unbalanced
268,1-NN,344,MAE,0.007846935622652226,1,Unbalanced
268,1-NN,344,MSE,0.011723774404942915,1,Unbalanced
268,1-NN,344,R2,0.9921554480397882,1,Unbalanced
268,1-NN,344,RMSE,0.1082763797184913,1,Unbalanced
268,1-NN,344,r,0.9961087488084553,1,Unbalanced
268,kNN,344,MAE,0.40111863080817345,1,Unbalanced
268,kNN,344,MSE,0.29509331617167067,1,Unbalanced
268,kNN,344,R2,0.8025486697488913,1,Unbalanced
268,kNN,344,RMSE,0.5432249222667077,1,Unbalanced
268,kNN,344,r,0.8984771678556046,1,Unbalanced
268,SVR,344,MAE,0.09814877029701402,1,Unbalanced
268,SVR,344,MSE,0.01376597406030107,1,Unbalanced
268,SVR,344,R2,0.9907889818526847,1,Unbalanced
268,SVR,344,RMSE,0.11732848784630726,1,Unbalanced
268,SVR,344,r,0.9962827453636375,1,Unbalanced
268,RFR,344,MAE,0.23007526733188735,1,Unbalanced
268,RFR,344,MSE,0.08924255109408356,1,Unbalanced
268,RFR,344,R2,0.9402864807067393,1,Unbalanced
268,RFR,344,RMSE,0.2987349177683847,1,Unbalanced
268,RFR,344,r,0.9828826272987192,1,Unbalanced
268,MR,344,MAE,1.0021478366033645,1,Unbalanced
268,MR,344,MSE,1.495492266107152,1,Unbalanced
268,MR,344,R2,-0.0006561353335392539,1,Unbalanced
268,MR,344,RMSE,1.2229032120765535,1,Unbalanced
268,1-NN,344,MAE,0.010109003210976778,2,Unbalanced
268,1-NN,344,MSE,0.013484005127249983,2,Unbalanced
268,1-NN,344,R2,0.99070761379186,2,Unbalanced
268,1-NN,344,RMSE,0.11612064901321377,2,Unbalanced
268,1-NN,344,r,0.9953880575911012,2,Unbalanced
268,kNN,344,MAE,0.42353959248232304,2,Unbalanced
268,kNN,344,MSE,0.33891474050674986,2,Unbalanced
268,kNN,344,R2,0.7664398203130489,2,Unbalanced
268,kNN,344,RMSE,0.5821638433523245,2,Unbalanced
268,kNN,344,r,0.876196420264164,2,Unbalanced
