,model,trial,Target ID,Training size,n_neighbors,metric,C,kernel,n_estimators,max_features,min_samples_split,min_samples_leaf,strategy
230,1-NN,5,CHEMBL280,12,1.0,jaccard,,,,,,,
231,kNN,5,CHEMBL280,12,3.0,jaccard,,,,,,,
232,SVR,5,CHEMBL280,12,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
233,RFR,5,CHEMBL280,12,,,,,50.0,sqrt,2.0,5.0,
234,MR,5,CHEMBL280,12,,,,,,,,,median
235,1-NN,5,CHEMBL280,18,1.0,jaccard,,,,,,,
236,kNN,5,CHEMBL280,18,3.0,jaccard,,,,,,,
237,SVR,5,CHEMBL280,18,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
238,RFR,5,CHEMBL280,18,,,,,100.0,sqrt,2.0,5.0,
239,MR,5,CHEMBL280,18,,,,,,,,,median
240,1-NN,5,CHEMBL280,30,1.0,jaccard,,,,,,,
241,kNN,5,CHEMBL280,30,3.0,jaccard,,,,,,,
242,SVR,5,CHEMBL280,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
243,RFR,5,CHEMBL280,30,,,,,50.0,log2,2.0,1.0,
244,MR,5,CHEMBL280,30,,,,,,,,,median
245,1-NN,5,CHEMBL280,48,1.0,jaccard,,,,,,,
246,kNN,5,CHEMBL280,48,3.0,jaccard,,,,,,,
247,SVR,5,CHEMBL280,48,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
248,RFR,5,CHEMBL280,48,,,,,100.0,sqrt,2.0,1.0,
249,MR,5,CHEMBL280,48,,,,,,,,,median
250,1-NN,5,CHEMBL280,78,1.0,jaccard,,,,,,,
251,kNN,5,CHEMBL280,78,3.0,jaccard,,,,,,,
252,SVR,5,CHEMBL280,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
253,RFR,5,CHEMBL280,78,,,,,100.0,sqrt,2.0,1.0,
254,MR,5,CHEMBL280,78,,,,,,,,,median
255,1-NN,5,CHEMBL280,126,1.0,jaccard,,,,,,,
256,kNN,5,CHEMBL280,126,3.0,jaccard,,,,,,,
257,SVR,5,CHEMBL280,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
258,RFR,5,CHEMBL280,126,,,,,50.0,log2,2.0,1.0,
259,MR,5,CHEMBL280,126,,,,,,,,,median
260,1-NN,5,CHEMBL280,204,1.0,jaccard,,,,,,,
261,kNN,5,CHEMBL280,204,3.0,jaccard,,,,,,,
262,SVR,5,CHEMBL280,204,,,100.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
263,RFR,5,CHEMBL280,204,,,,,100.0,sqrt,2.0,1.0,
264,MR,5,CHEMBL280,204,,,,,,,,,median
265,1-NN,5,CHEMBL280,330,1.0,jaccard,,,,,,,
266,kNN,5,CHEMBL280,330,3.0,jaccard,,,,,,,
267,SVR,5,CHEMBL280,330,,,100.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
268,RFR,5,CHEMBL280,330,,,,,200.0,sqrt,2.0,1.0,
269,MR,5,CHEMBL280,330,,,,,,,,,median
270,1-NN,6,CHEMBL280,6,1.0,jaccard,,,,,,,
271,kNN,6,CHEMBL280,6,3.0,jaccard,,,,,,,
272,SVR,6,CHEMBL280,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
273,RFR,6,CHEMBL280,6,,,,,50.0,sqrt,2.0,2.0,
274,MR,6,CHEMBL280,6,,,,,,,,,median
275,1-NN,6,CHEMBL280,12,1.0,jaccard,,,,,,,
276,kNN,6,CHEMBL280,12,3.0,jaccard,,,,,,,
277,SVR,6,CHEMBL280,12,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
278,RFR,6,CHEMBL280,12,,,,,100.0,log2,3.0,1.0,
279,MR,6,CHEMBL280,12,,,,,,,,,median
280,1-NN,6,CHEMBL280,18,1.0,jaccard,,,,,,,
281,kNN,6,CHEMBL280,18,3.0,jaccard,,,,,,,
282,SVR,6,CHEMBL280,18,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
283,RFR,6,CHEMBL280,18,,,,,50.0,log2,2.0,1.0,
284,MR,6,CHEMBL280,18,,,,,,,,,median
285,1-NN,6,CHEMBL280,30,1.0,jaccard,,,,,,,
286,kNN,6,CHEMBL280,30,3.0,jaccard,,,,,,,
287,SVR,6,CHEMBL280,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
288,RFR,6,CHEMBL280,30,,,,,200.0,sqrt,2.0,1.0,
289,MR,6,CHEMBL280,30,,,,,,,,,median
290,1-NN,6,CHEMBL280,48,1.0,jaccard,,,,,,,
291,kNN,6,CHEMBL280,48,3.0,jaccard,,,,,,,
292,SVR,6,CHEMBL280,48,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
293,RFR,6,CHEMBL280,48,,,,,100.0,log2,3.0,1.0,
294,MR,6,CHEMBL280,48,,,,,,,,,median
295,1-NN,6,CHEMBL280,78,1.0,jaccard,,,,,,,
296,kNN,6,CHEMBL280,78,3.0,jaccard,,,,,,,
297,SVR,6,CHEMBL280,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
298,RFR,6,CHEMBL280,78,,,,,50.0,sqrt,2.0,1.0,
299,MR,6,CHEMBL280,78,,,,,,,,,median
300,1-NN,6,CHEMBL280,126,1.0,jaccard,,,,,,,
301,kNN,6,CHEMBL280,126,3.0,jaccard,,,,,,,
302,SVR,6,CHEMBL280,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
303,RFR,6,CHEMBL280,126,,,,,50.0,sqrt,2.0,1.0,
304,MR,6,CHEMBL280,126,,,,,,,,,median
305,1-NN,6,CHEMBL280,204,1.0,jaccard,,,,,,,
306,kNN,6,CHEMBL280,204,3.0,jaccard,,,,,,,
307,SVR,6,CHEMBL280,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
308,RFR,6,CHEMBL280,204,,,,,50.0,log2,2.0,1.0,
309,MR,6,CHEMBL280,204,,,,,,,,,median
310,1-NN,6,CHEMBL280,330,1.0,jaccard,,,,,,,
311,kNN,6,CHEMBL280,330,3.0,jaccard,,,,,,,
312,SVR,6,CHEMBL280,330,,,10000.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
313,RFR,6,CHEMBL280,330,,,,,100.0,sqrt,3.0,1.0,
314,MR,6,CHEMBL280,330,,,,,,,,,median
315,1-NN,7,CHEMBL280,6,1.0,jaccard,,,,,,,
316,kNN,7,CHEMBL280,6,3.0,jaccard,,,,,,,
317,SVR,7,CHEMBL280,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
